"","year","","","","","","","","","","","",""
"country","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Brunei Darussalam","2 736","2 753","2 763","2 869","2 909","2 936","2 976","2 999","3 049","3 053","3 059","3 714",""
"Cambodia","30 652","39 618","44 919","44 919","51 422","51 404","55 026","58 000","58 946","61 508","62 442","63 432","64 883"
"Indonesia","437 759","476 337","487 314","496 607","504 184","508 000","517 753","523 974","537 837","540 490","540 658","564 010",""
"Lao PDR","39 546","39 547","39 586","41 032","43 601","45 825","51 596","56 330","58 885","59 870","60 340","58 255","58 287"
"Malaysia","92 011","124 656","137 219","157 167","182 699","204 170","203 791","216 837","238 790","237 022","250 023","256 494","267 012"
"Myanmar","125 400","127 900","136 749","150 816","151 298","164 969","165 723","147 822","164 028","164 377","162 766","138 272","237 288"
"Philippines","29 650","29 898","31 242","31 359","31 598","32 227","32 526","32 633","32 770","32 868","32 933","33 018","33 120"
"Singapore","3 330","3 360","3 380","3 410","3 430","3 453","3 496","3 500","3 512","3 500","3 515","3 520","3 525"
"Thailand","224 859","224 493","229 431","231 216","231 790","232 196","233 175","454 025","455 653","456 487","701 847","702 210","702 577"
"Viet Nam","287 700","290 700","295 100","300 848","326 000","334 845","357 222","360 216","368 779","370 664","387 654","594 898",""
