"","year","","","","","","","","","","","",""
"country","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Brunei Darussalam","205.62","165.85","113.66","148.19","238.00","261.00","294.00","391.00","390.38","408.99","426.00","439.52","452.59"
"Cambodia","215.48","307.05","260.97","251.73","271.15","282.14","344.25","398.50","525.76","441.80","580.90","646.00","456.00"
"Indonesia","61 685.06","67 336.64","76 907.13","85 601.35","94 373.00","103 913.00","113 354.00","120 786.00","128 069.00","130 562.00","140 785.00","126 416.00","131 083.00"
"Lao PDR","768.61","886.35","1 008.88","1 089.61","1 288.30","1 439.00","1 577.17","1 717.50","1 850.00","1 978.00","2 105.00","2 233.68","2 437.79"
"Malaysia","17 970.90","19 016.78","20 188.56","21 401.27","22 702.22","23 819.26","25 101.19","26 301.95","27 613.26","28 738.18","29 956.47","31 214.77","32 378.17"
"Myanmar","1 994.00","2 068.00","2 299.00","2 354.00","3 614.26","4 017.00","4 908.00","5 385.00","6 126.29","6 801.00","7 215.50","7 333.98","7 610.81"
"Philippines","5 891.00","6 220.00","6 634.85","7 139.00","7 463.00","7 690.00","8 081.00","8 707.00","9 252.00","10 411.00","11 595.00","12 725.00","11 851.19"
"Singapore","895.00","926.00","946.00","957.00","970.00","974.00","972.00","957.00","956.00","962.00","957.00","973.00","974.00"
"Thailand","26 417.35","27 184.58","28 484.83","30 194.94","32 476.98","34 624.41","35 835.18","36 731.02","37 338.14","38 308.76","39 551.79","40 712.05","41 471.35"
"Viet Nam","947.00","1 138.00","1 274.00","1 463.00","1 590.00","1 669.00","1 837.00","2 107.00","2 516.00","2 902.00","3 274.37","4 300.00",""
